id	item_id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	acquisition_date	maintenance_date	calibration_date	observation
113	3	16	ILEGÍVEL	PNBOIA	108	AQUADOPP 400khz	NORTEK	3	1				
114	5	20	WM503850	PNBOIA	149	WMAN	AXYS	3	1				
115	5	20	WM503520	PNBOIA	150	WMAN	AXYS	3	1				
116	5	20	270	PNBOIA	152	WMAN	AXYS	3	1				
117	5	20	210	PNBOIA	153	WMAN	AXYS	3	1				
118	5	20	269	PNBOIA	7		AXYS	3	1				
119	5	20	267	PNBOIA	9		AXYS	3	1				
120	5	20	WM504150	PNBOIA	155		AXYS	3	1				
121	5	20	209	PNBOIA	156	WMAN	AXYS	3	1				
122	5	20	WMTO221	PNBOIA	157	WMAN TX	AXYS	3	1				
123	5	20	WMTO222	PNBOIA	158	WMAN TX	AXYS	3	1				
124	5	20	WMTO0229	PNBOIA	159	WMAN TX	AXYS	3	1				
125	5	20	WMTO0230	PNBOIA	160	WMAN TX	AXYS	3	1				
126	5	20	WMTO0260	PNBOIA	176	WMAN TX	AXYS	3	1				
127	5	20	WMTO0220	PNBOIA	177	WMAN TX	AXYS	3	1				
128	5	20	WMTO0219	PNBOIA	178	WMAN TX	AXYS	3	1				
129	5	18	NÂO EXISTE	PNBOIA	113	Radiation Shield	rotronic	4	1				
130	5	18	NÂO EXISTE	PNBOIA	114	Radiation Shield	rotronic	4	1				
131	5	18	NÂO EXISTE	PNBOIA	115	Radiation Shield	rotronic	4	1				
132	5	18	NÂO EXISTE	PNBOIA	116	Radiation Shield	rotronic	4	1				
133	5	18	NÂO EXISTE	PNBOIA	117	Radiation Shield	rotronic	4	1				
134	5	18	NÂO EXISTE	PNBOIA	118	Radiation Shield	rotronic	4	1				
135	5	18	NÂO EXISTE	PNBOIA	119	Radiation Shield	rotronic	4	1				
136	5	18	NÂO EXISTE	PNBOIA	120	Radiation Shield	rotronic	4	1				
137	5	18	NÂO EXISTE	PNBOIA	121	Radiation Shield	rotronic	4	1				
138	5	18	NÂO EXISTE	PNBOIA	122	Radiation Shield	rotronic	4	1				
139	5	18	NÂO EXISTE	PNBOIA	123	Radiation Shield	rotronic	4	1				
140	5	18	NÂO EXISTE	PNBOIA	124	Radiation Shield	rotronic	4	1				
141	5	18	NÂO EXISTE	PNBOIA	125	Radiation Shield	rotronic	4	1				
142	5	18	NÂO EXISTE	PNBOIA	126	Radiation Shield	rotronic	4	1				
143	5	18	NÂO EXISTE	PNBOIA	127	Radiation Shield	rotronic	4	1				
144	5	18	NÂO EXISTE	PNBOIA	128	Radiation Shield	rotronic	4	1				
145	5	18	NÂO EXISTE	PNBOIA	129	Radiation Shield	rotronic	4	1				
146	5	18	NÂO EXISTE	PNBOIA	130	Radiation Shield	rotronic	4	1				
147	5	18	NÂO EXISTE	PNBOIA	131	Radiation Shield	rotronic	4	1				
148	5	18	NÂO EXISTE	PNBOIA	132	Radiation Shield	rotronic	4	1				
149	3	8	14520024	PNBOIA	138	WINDSONIC	GILL	4	1				ULTRASONICO
150	3	8	13510101	PNBOIA	143	WINDSONIC	GILL	4	1	23/05/2014			ULTRASONICO
151	3	8	13020036	PNBOIA	140	WINDSONIC	GILL	4	1	23/05/2014			ULTRASONICO
152	3	8	12340016	PNBOIA	141	WINDSONIC	GILL	4	1	21/03/2013			ULTRASONICO
153	3	8	12340018	PNBOIA	142	WINDSONIC	GILL	4	1	21/03/2013			ULTRASONICO
154	3	8	12380086	PNBOIA	133	WINDSONIC	GILL	4	0				AVARIADO
155	3	8	13510103	PNBOIA	136	WINDSONIC	GILL	4	1				ULTRASONICO
156	3	8	14320075	PNBOIA	137	WINDSONIC	GILL	4	1				ULTRASONICO
157	3	8	13510050	PNBOIA	134	WINDSONIC	GILL	4	1				ULTRASONICO
158	3	8	14520028	PNBOIA	144	WINDSONIC	GILL	4	1	18/06/2015			ULTRASONICO
