id	item_type_id	serial_number	owner	register_number	model	manufacturer	place_id	situation_id	foto	manual	datasheet	acquisition_date	maintenance_date	calibration_date	observation
43	9	61084078	PNBOIA	25	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=305	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
44	9	60348891	PNBOIA	30	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=305	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
45	9	61441783	PNBOIA	31	MP101A	ROTRONIC	2	1	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=305	https://www.rotronic.com/en/mp10xa-mp40xa.html				Necessário realizar teste
46	9	61441776	PNBOIA	28	MP101A	ROTRONIC	2	0	https://www.rotronic.com/media/catalog/product/cache/6/image/9df78eab33525d08d6e5fb8d27136e95/m/p/mp10xa_40xa.jpg	https://www.rotronic.com/en/productattachments/index/download?id=305	https://www.rotronic.com/en/mp10xa-mp40xa.html				Avariado
47	10	19520	PNBOIA	50	TR-1060	RBR	2	1	https://www.esonetyellowpages.com/img/sensors/tr1060_mqXg.jpg	https://www.bodc.ac.uk/data/documents/nodb/pdf/rbr_logger_users_manual.pdf	http://www.oceandata.co.kr/GroupWare/Home/product/brochure/rbr/TR-1060.pdf				
48	10	19524	PNBOIA	51	TR-1060	RBR	2	1	https://www.esonetyellowpages.com/img/sensors/tr1060_mqXg.jpg	https://www.bodc.ac.uk/data/documents/nodb/pdf/rbr_logger_users_manual.pdf	http://www.oceandata.co.kr/GroupWare/Home/product/brochure/rbr/TR-1060.pdf				
49	10	19519	PNBOIA	49	TR-1060	RBR	2	1	https://www.esonetyellowpages.com/img/sensors/tr1060_mqXg.jpg	https://www.bodc.ac.uk/data/documents/nodb/pdf/rbr_logger_users_manual.pdf	http://www.oceandata.co.kr/GroupWare/Home/product/brochure/rbr/TR-1060.pdf				
50	11	1785	PNBOIA	53	FLNTUS	WETLABS	2	1	https://seacatalog.com/wp-content/uploads/2016/08/ECO-FLNTU_WebSafe.jpg	https://www.seabird.com/asset-get.download.jsa?id=56310811251	https://www.seabird.com/asset-get.download.jsa?id=55460873804				AVARIADO
51	11	1784	PNBOIA	52	FLNTUS	WETLABS	2	1	https://seacatalog.com/wp-content/uploads/2016/08/ECO-FLNTU_WebSafe.jpg	https://www.seabird.com/asset-get.download.jsa?id=56310811251	https://www.seabird.com/asset-get.download.jsa?id=55460873804				AVARIADO
52	17	TAS 02530	PNBOIA	110	TRIAXYS G1	AXYS	2	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7_1I0hQluwgb_jR1Ha7zqVkqu0dluEzXC-w&usqp=CAU	http://www.neracoos.org/sites/neracoos.org/files/documents/Appendix%20B%20-TRIAXYS%20Directional%20Wave%20Sensor%20Manual.pdf	https://axystechnologies.com/wp-content/uploads/2017/01/TRIAXYS-g3-Sensor.pdf				
53	17	TAS 04590	PNBOIA	161	TRIAXYS G1	AXYS	2	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7_1I0hQluwgb_jR1Ha7zqVkqu0dluEzXC-w&usqp=CAU	http://www.neracoos.org/sites/neracoos.org/files/documents/Appendix%20B%20-TRIAXYS%20Directional%20Wave%20Sensor%20Manual.pdf	https://axystechnologies.com/wp-content/uploads/2017/01/TRIAXYS-g3-Sensor.pdf				
54	17	TAS 02100	PNBOIA	174	TRIAXYS G1	AXYS	2	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7_1I0hQluwgb_jR1Ha7zqVkqu0dluEzXC-w&usqp=CAU	http://www.neracoos.org/sites/neracoos.org/files/documents/Appendix%20B%20-TRIAXYS%20Directional%20Wave%20Sensor%20Manual.pdf	https://axystechnologies.com/wp-content/uploads/2017/01/TRIAXYS-g3-Sensor.pdf				
55	17	TAS 02610	PNBOIA	173	TRIAXYS G1	AXYS	2	1	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7_1I0hQluwgb_jR1Ha7zqVkqu0dluEzXC-w&usqp=CAU	http://www.neracoos.org/sites/neracoos.org/files/documents/Appendix%20B%20-TRIAXYS%20Directional%20Wave%20Sensor%20Manual.pdf	https://axystechnologies.com/wp-content/uploads/2017/01/TRIAXYS-g3-Sensor.pdf				
